char	codepoint	unicode_name	category	prefix	visual_cluster	main_key	main_shape	preferred_state_key	state_cluster	state_key	state_shape	input_code	classification_reason	rebalanced	cluster_distance	aspect	density	source	status	algorithm
ଭ	U+0B2D	ORIYA LETTER BHA	Lo	bo	8	m	复合	s	0	s	对称	boms	奥里亚视觉聚类C8;状态组S0	false	0.184062	1.0253	0.3021	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ମ	U+0B2E	ORIYA LETTER MA	Lo	bo	11	w	波浪流线	s	0	s	对称	bows	奥里亚视觉聚类C11;状态组S0	false	0.172343	0.9620	0.2607	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଯ	U+0B2F	ORIYA LETTER YA	Lo	bo	11	w	波浪流线	i	1	i	内含	bowi	奥里亚视觉聚类C11;状态组S1	false	0.386840	0.9873	0.3147	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ର	U+0B30	ORIYA LETTER RA	Lo	bo	6	z	阶梯锯齿	s	1	s	对称	bozs	奥里亚视觉聚类C6;状态组S1	false	0.243738	1.0127	0.2840	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଲ	U+0B32	ORIYA LETTER LA	Lo	bo	8	m	复合	s	0	s	对称	boms	奥里亚视觉聚类C8;状态组S0	false	0.226655	1.0506	0.2975	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଳ	U+0B33	ORIYA LETTER LLA	Lo	bo	7	r	放射星芒	s	0	x	穿过交叠	borx	奥里亚视觉聚类C7;状态组S0	true	0.114805	0.9487	0.2805	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଵ	U+0B35	ORIYA LETTER VA	Lo	bo	7	r	放射星芒	s	0	x	穿过交叠	borx	奥里亚视觉聚类C7;状态组S0	true	0.176348	0.9359	0.2745	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଶ	U+0B36	ORIYA LETTER SHA	Lo	bo	9	o	圆环	s	0	f	实心高填充	boof	奥里亚视觉聚类C9;状态组S0	true	0.329959	0.9241	0.3279	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଷ	U+0B37	ORIYA LETTER SSA	Lo	bo	10	t	三角尖形	i	0	i	内含	boti	奥里亚视觉聚类C10;状态组S0	false	0.343669	0.9494	0.3478	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ସ	U+0B38	ORIYA LETTER SA	Lo	bo	10	t	三角尖形	s	1	s	对称	bots	奥里亚视觉聚类C10;状态组S1	false	0.244036	0.9259	0.2989	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ହ	U+0B39	ORIYA LETTER HA	Lo	bo	13	v	开口V形	s	1	s	对称	bovs	奥里亚视觉聚类C13;状态组S1	false	0.304151	0.9012	0.2662	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
଼	U+0B3C	ORIYA SIGN NUKTA	Mn	bo	17	j	钩弯	s	0	s	对称	bojs	奥里亚视觉聚类C17;状态组S0	false	0.268233	0.8333	0.0884	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଽ	U+0B3D	ORIYA SIGN AVAGRAHA	Lo	bo	3	i	细柱	s	0	s	对称	bois	奥里亚视觉聚类C3;状态组S0	false	0.395370	0.7067	0.2010	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ା	U+0B3E	ORIYA VOWEL SIGN AA	Mc	bo	2	y	分叉翼形	s	1	s	对称	boys	奥里亚视觉聚类C2;状态组S1	false	0.602414	1.0897	0.1345	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ି	U+0B3F	ORIYA VOWEL SIGN I	Mn	bo	1	l	线条	m	0	s	对称	bols	奥里亚视觉聚类C1;状态组S0	true	0.087714	0.7053	0.1097	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ୀ	U+0B40	ORIYA VOWEL SIGN II	Mc	bo	2	y	分叉翼形	s	0	z	层叠错列	boyz	奥里亚视觉聚类C2;状态组S0	true	0.358467	1.1923	0.1283	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ୁ	U+0B41	ORIYA VOWEL SIGN U	Mn	bo	13	v	开口V形	m	0	m	重复多部件	bovm	奥里亚视觉聚类C13;状态组S0	false	0.327327	0.8571	0.1490	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ୂ	U+0B42	ORIYA VOWEL SIGN UU	Mn	bo	13	v	开口V形	m	0	m	重复多部件	bovm	奥里亚视觉聚类C13;状态组S0	false	0.313925	0.8824	0.1206	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ୃ	U+0B43	ORIYA VOWEL SIGN VOCALIC R	Mn	bo	1	l	线条	m	0	s	对称	bols	奥里亚视觉聚类C1;状态组S0	true	0.256833	0.7976	0.1215	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ୄ	U+0B44	ORIYA VOWEL SIGN VOCALIC RR	Mn	bo	0	x	交叉	s	0	s	对称	boxs	奥里亚视觉聚类C0;状态组S0	false	0.271341	0.7738	0.1223	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
େ	U+0B47	ORIYA VOWEL SIGN E	Mc	bo	14	f	人物轮廓	m	1	s	对称	bofs	奥里亚视觉聚类C14;状态组S1	true	0.279063	1.4810	0.1726	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ୈ	U+0B48	ORIYA VOWEL SIGN AI	Mc	bo	14	f	人物轮廓	m	0	m	重复多部件	bofm	奥里亚视觉聚类C14;状态组S0	false	0.200703	1.7755	0.1395	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ୋ	U+0B4B	ORIYA VOWEL SIGN O	Mc	bo	3	i	细柱	s	0	s	对称	bois	奥里亚视觉聚类C3;状态组S0	false	0.363949	2.4684	0.1569	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ୌ	U+0B4C	ORIYA VOWEL SIGN AU	Mc	bo	14	f	人物轮廓	m	0	m	重复多部件	bofm	奥里亚视觉聚类C14;状态组S0	false	0.231861	1.9898	0.1471	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
୍	U+0B4D	ORIYA SIGN VIRAMA	Mn	bo	0	x	交叉	s	0	s	对称	boxs	奥里亚视觉聚类C0;状态组S0	false	0.259498	0.7738	0.0890	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
୕	U+0B55	ORIYA SIGN OVERLINE	Mn	bo	1	l	线条	m	0	s	对称	bols	奥里亚视觉聚类C1;状态组S0	true	0.135145	0.6915	0.0979	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ୖ	U+0B56	ORIYA AI LENGTH MARK	Mn	bo	1	l	线条	m	0	s	对称	bols	奥里亚视觉聚类C1;状态组S0	true	0.111224	0.6804	0.1228	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ୗ	U+0B57	ORIYA AU LENGTH MARK	Mc	bo	1	l	线条	m	1	m	重复多部件	bolm	奥里亚视觉聚类C1;状态组S1	false	0.313088	0.8763	0.1560	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଡ଼	U+0B5C	ORIYA LETTER RRA	Lo	bo	16	d	点状	s	1	s	对称	bods	奥里亚视觉聚类C16;状态组S1	false	0.204510	0.7708	0.2349	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ଢ଼	U+0B5D	ORIYA LETTER RHA	Lo	bo	16	d	点状	s	1	s	对称	bods	奥里亚视觉聚类C16;状态组S1	false	0.226321	0.7604	0.2577	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ୟ	U+0B5F	ORIYA LETTER YYA	Lo	bo	10	t	三角尖形	i	0	i	内含	boti	奥里亚视觉聚类C10;状态组S0	false	0.580739	0.9762	0.2940	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ୠ	U+0B60	ORIYA LETTER VOCALIC RR	Lo	bo	10	t	三角尖形	s	1	s	对称	bots	奥里亚视觉聚类C10;状态组S1	false	0.400928	0.9545	0.2610	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ୡ	U+0B61	ORIYA LETTER VOCALIC LL	Lo	bo	18	p	螺旋回环	s	1	s	对称	bops	奥里亚视觉聚类C18;状态组S1	false	0.373350	0.6632	0.2668	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ୢ	U+0B62	ORIYA VOWEL SIGN VOCALIC L	Mn	bo	2	y	分叉翼形	s	1	s	对称	boys	奥里亚视觉聚类C2;状态组S1	false	0.828945	0.7927	0.1098	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ୣ	U+0B63	ORIYA VOWEL SIGN VOCALIC LL	Mn	bo	17	j	钩弯	s	0	s	对称	bojs	奥里亚视觉聚类C17;状态组S0	false	0.268091	0.7471	0.1061	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
୦	U+0B66	ORIYA DIGIT ZERO	Nd	bo	6	z	阶梯锯齿	i	0	i	内含	bozi	奥里亚视觉聚类C6;状态组S0	false	0.791319	1.0781	0.2206	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
୧	U+0B67	ORIYA DIGIT ONE	Nd	bo	16	d	点状	s	1	s	对称	bods	奥里亚视觉聚类C16;状态组S1	false	0.250314	0.7467	0.2526	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
୨	U+0B68	ORIYA DIGIT TWO	Nd	bo	16	d	点状	s	1	s	对称	bods	奥里亚视觉聚类C16;状态组S1	false	0.283041	0.7467	0.2531	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
୩	U+0B69	ORIYA DIGIT THREE	Nd	bo	2	y	分叉翼形	s	0	z	层叠错列	boyz	奥里亚视觉聚类C2;状态组S0	true	0.887212	1.2568	0.2868	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
୪	U+0B6A	ORIYA DIGIT FOUR	Nd	bo	4	n	成列成排	s	1	s	对称	bons	奥里亚视觉聚类C4;状态组S1	false	0.549372	0.9200	0.2327	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
୫	U+0B6B	ORIYA DIGIT FIVE	Nd	bo	18	p	螺旋回环	s	1	s	对称	bops	奥里亚视觉聚类C18;状态组S1	false	0.459600	0.8800	0.2725	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
୬	U+0B6C	ORIYA DIGIT SIX	Nd	bo	9	o	圆环	s	0	f	实心高填充	boof	奥里亚视觉聚类C9;状态组S0	true	0.346218	0.9733	0.2429	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
୭	U+0B6D	ORIYA DIGIT SEVEN	Nd	bo	9	o	圆环	s	1	s	对称	boos	奥里亚视觉聚类C9;状态组S1	false	0.365150	0.9600	0.2706	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
୮	U+0B6E	ORIYA DIGIT EIGHT	Nd	bo	0	x	交叉	s	0	s	对称	boxs	奥里亚视觉聚类C0;状态组S0	false	0.509664	0.8889	0.1673	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
୯	U+0B6F	ORIYA DIGIT NINE	Nd	bo	4	n	成列成排	s	1	s	对称	bons	奥里亚视觉聚类C4;状态组S1	false	0.542996	0.8667	0.2476	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
୰	U+0B70	ORIYA ISSHAR	So	bo	17	j	钩弯	s	1	q	倾斜	bojq	奥里亚视觉聚类C17;状态组S1	true	0.621708	1.0137	0.1488	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
ୱ	U+0B71	ORIYA LETTER WA	Lo	bo	17	j	钩弯	s	0	s	对称	bojs	奥里亚视觉聚类C17;状态组S0	false	0.635392	0.8205	0.3075	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
୲	U+0B72	ORIYA FRACTION ONE QUARTER	No	bo	3	i	细柱	s	0	s	对称	bois	奥里亚视觉聚类C3;状态组S0	false	0.288200	0.3846	0.2393	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
୳	U+0B73	ORIYA FRACTION ONE HALF	No	bo	18	p	螺旋回环	s	1	s	对称	bops	奥里亚视觉聚类C18;状态组S1	false	0.359712	0.6795	0.2107	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
୴	U+0B74	ORIYA FRACTION THREE QUARTERS	No	bo	12	k	绳结	s	1	s	对称	boks	奥里亚视觉聚类C12;状态组S1	false	0.454498	0.9615	0.2191	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
୵	U+0B75	ORIYA FRACTION ONE SIXTEENTH	No	bo	3	i	细柱	s	0	s	对称	bois	奥里亚视觉聚类C3;状态组S0	false	0.248830	0.5570	0.1602	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
୶	U+0B76	ORIYA FRACTION ONE EIGHTH	No	bo	17	j	钩弯	s	0	s	对称	bojs	奥里亚视觉聚类C17;状态组S0	false	0.427730	0.9241	0.2128	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
୷	U+0B77	ORIYA FRACTION THREE SIXTEENTHS	No	bo	15	u	容器U形	s	0	s	对称	bous	奥里亚视觉聚类C15;状态组S0	false	0.000000	1.0500	0.1973	30_项目/个人Unicode音型输入法/数据/ଉOriya Sign字块.md	machine-initial-v1	visual-balanced-odia-v1
